food_name,calories,carbohydrates,protein,fat
berry coulis (1 tbsp),20.0,5.0,0.0,0.0
saltimbocca (1 serving),380.0,5.0,38.0,22.0
prosciutto (1 slice wrapper),35.0,0.0,4.0,2.5
sage (2 leaves),1.0,0.1,0.0,0.0
polenta (grilled 1 slice),120.0,25.0,2.5,1.0
caponata (1/2 cup),180.0,15.0,2.0,14.0
eggplant (1/2 cup in caponata),40.0,6.0,0.5,2.0
pine nuts (1/2 tbsp),48.0,1.0,1.0,5.0
raisins (1 tbsp),27.0,7.0,0.3,0.0
gelato (pistachio 1/2 cup),220.0,24.0,5.0,12.0
waffle cone (1 small),70.0,13.0,1.0,1.5
cacio e pepe (1.5 cups),500.0,65.0,18.0,19.0
pecorino romano (1/4 cup),110.0,1.0,7.5,8.5
black pepper (1/2 tsp),3.0,0.7,0.1,0.0
fiorentina steak (3oz portion),230.0,0.0,24.0,15.0
rosemary (garnish),1.0,0.2,0.0,0.0
white beans (tuscan style 1/2 cup),150.0,20.0,8.0,4.0
garlic (1 clove in beans),4.0,0.9,0.2,0.0
sage (in beans),1.0,0.1,0.0,0.0
arancini (1 large ball),250.0,30.0,9.0,10.0
ragù (filling 1 tbsp),25.0,1.0,1.5,1.5
mozzarella (filling 0.5 oz),40.0,0.5,3.0,3.0
breadcrumbs (coating),25.0,4.0,0.5,0.5
campari & soda (1 drink),85.0,10.0,0.0,0.0
olive (garnish),5.0,0.1,0.0,0.5
vitello tonnato (1 serving),380.0,3.0,35.0,25.0
tuna sauce (2 tbsp),100.0,1.0,4.0,9.0
capers (garnish),2.0,0.4,0.2,0.1
lemon slice (garnish),1.0,0.3,0.0,0.0
gnocchi alla sorrentina (1.5 cups),450.0,60.0,15.0,18.0
tomato sauce (1/2 cup),40.0,7.0,1.5,1.0
mozzarella (1 oz melted),80.0,1.0,6.0,6.0
basil (fresh garnish),1.0,0.0,0.1,0.0
pesto (1/4 cup),290.0,4.0,5.0,29.0
pine nuts (1 tbsp in pesto),95.0,2.0,2.0,10.0
garlic (1/2 clove in pesto),2.0,0.5,0.1,0.0
trofie pasta (1 cup cooked),210.0,43.0,7.0,1.0
green beans (1/2 cup w/ pasta),15.0,3.5,0.9,0.1
potato (1/2 w/ pasta),65.0,15.0,1.0,0.1
espresso martini (1 drink),280.0,25.0,0.5,0.0
vodka (1.5 oz),97.0,0.0,0.0,0.0
coffee liqueur (1 oz),100.0,15.0,0.0,0.0
espresso (1 oz in drink),3.0,0.0,0.3,0.1
simple syrup (1/2 oz),30.0,8.0,0.0,0.0
coffee beans (3 garnish),2.0,0.3,0.1,0.0
baba ganoush (1/4 cup),100.0,8.0,2.0,7.0
pita bread (1 white),165.0,33.0,5.5,1.2
falafel (3 pieces),180.0,18.0,6.0,9.0
tahini sauce (1 tbsp),30.0,1.5,1.0,2.5
pickled turnips (2 tbsp),10.0,2.0,0.2,0.0
shawarma (chicken 1 wrap),550.0,50.0,30.0,25.0
garlic sauce (1 tbsp),90.0,1.0,0.1,10.0
hummus (1/4 cup),130.0,10.0,5.0,8.0
tabouli (1/2 cup),120.0,15.0,3.0,6.0
bulgur (1/4 cup in tabouli),76.0,16.8,2.7,0.2
parsley (1/4 cup in tabouli),5.0,1.0,0.3,0.1
mint (1 tbsp in tabouli),1.0,0.1,0.1,0.0
lemon juice (1 tbsp dressing),4.0,1.3,0.1,0.0
olive oil (1 tbsp dressing),120.0,0.0,0.0,14.0
kibbeh (1 piece fried),230.0,20.0,9.0,13.0
pine nuts (1/2 tbsp filling),48.0,1.0,1.0,5.0
ground lamb (1 oz filling),80.0,0.0,5.5,6.0
bulgur (1 tbsp shell),15.0,3.4,0.5,0.0
lentil soup (1 cup middle eastern),200.0,30.0,10.0,5.0
cumin (1 tsp),8.0,1.5,0.3,0.5
coriander (1 tsp),5.0,1.0,0.1,0.2
lemon juice (1 tsp in soup),1.0,0.4,0.0,0.0
pita crisps (1 oz),130.0,18.0,3.0,5.0
manakeesh (za'atar 1 small),300.0,45.0,7.0,10.0
za'atar (1 tbsp),40.0,3.0,1.0,3.0
olive oil (1 tbsp on bread),120.0,0.0,0.0,14.0
labneh (2 tbsp),60.0,2.0,4.0,4.0
cucumber (1/4 cup side),8.0,1.8,0.3,0.0
tomato (1/4 cup side),8.0,1.8,0.3,0.1
olives (5 side),35.0,1.0,0.2,3.5
mint tea (1 cup),2.0,0.5,0.1,0.0
stuffed grape leaves (3 pcs),150.0,20.0,3.0,7.0
rice (1/4 cup filling),51.0,11.1,1.1,0.1
turkish coffee (1 small cup),5.0,0.5,0.2,0.0
cardamom (in coffee),1.0,0.2,0.0,0.0
shish tawook (2 skewers),300.0,5.0,35.0,16.0
garlic sauce (toum 1 tbsp),90.0,1.0,0.1,10.0
french fries (side),340.0,44.0,4.0,17.0
pickled cucumber (1/4 cup),10.0,2.0,0.5,0.0
fattoush salad (1.5 cups),250.0,25.0,5.0,15.0
fried pita (1/2 pita in salad),80.0,12.0,2.0,3.0
sumac (1/2 tsp dressing),5.0,1.0,0.1,0.2
pomegranate molasses (1 tsp),15.0,4.0,0.0,0.0
hot tea (garam chai),16.14,2.58,0.39,0.53
instant coffee,23.16,3.65,0.64,0.75
espreso coffee,51.54,6.62,1.75,2.14
iced tea,10.34,2.7,0.03,0.01
raw mango drink (aam panna),35.92,9.05,0.16,0.03
fruit punch (with fresh juices),36.12,9.38,0.14,0.03
fruit punch (with squashes),23.13,5.99,0.07,0.02
lemonade,20.8,5.48,0.03,0.01
lem-o-gin,21.52,5.55,0.08,0.03
cumin infused water (jeere/zeere ka pani),9.09,1.86,0.17,0.11
coco pine cooler,32.75,5.72,0.56,1.0
summer cooler,22.43,5.43,0.37,0.04
hot cocoa,90.1,9.23,3.36,4.56
cold coffee with ice cream,67.85,11.24,1.57,2.11
banana milkshake (kele milkshake),65.31,9.15,1.84,2.37
mango milkshake (aam milkshake),56.9,7.23,1.73,2.35
pineapple milkshake (ananas milkshake),55.72,7.62,1.66,2.23
orange milkshake (narangi milkshake),57.42,7.11,1.86,2.52
egg nog,97.14,8.15,4.78,5.11
sweet lassi (meethi lassi),35.66,6.51,1.29,0.68
lassi (salted),18.84,1.86,1.35,0.72
cheese and chilli sandwich,218.11,27.4,6.8,9.78
egg sandwich (ande ka sandwich),285.96,29.16,8.69,15.8
cucumber sandwich (kheere ka sandwich),188.6,25.77,4.8,8.0
cheese and pineapple sandwich (cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8
cheese and tomato sandwich (cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27
chicken sandwich,253.27,25.38,13.12,11.75
peanut and tomato sandwich (moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14
rainbow sandwich,272.75,34.26,7.75,12.54
vegetarian club sandwich,198.33,19.68,5.45,11.33
pin wheel sandwich,311.52,14.0,8.77,24.93
carrot apple sandwich (gajar aur seb ka sandwich),214.11,29.04,5.3,9.12
salami sandwich,255.59,21.54,8.7,15.51
vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4
egg and tomato sandwich (ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51
sweet open sandwich,244.25,39.24,4.99,8.15
mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01
cheese and tomato sandwich (toasted) (cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95
pea potato sandwich (toasted) (matar aloo ka sandwich),164.9,25.17,4.6,5.43
paneer pea sandwich (toasted) (paneer matar ka sandwich),249.56,24.05,12.4,11.98
chicken sandwich (toasted),167.37,18.82,12.08,5.32
pea keema sandwich (toasted) (matar aur keema ka sandwich),171.78,20.26,11.06,5.61
classic club sandwich,200.83,18.49,6.74,11.56
sesame toast,495.19,11.15,1.9,49.38
cracked wheat porridge (meetha daliya),81.57,8.87,2.64,4.08
semolina porridge (suji/rava daliya),100.89,12.39,3.75,4.08
oatmeal porridge,72.85,8.77,2.6,3.22
cornflakes with milk,117.33,14.95,3.59,5.12
rice flakes (chiwda/aval),112.44,15.57,3.62,3.99
wheat flakes,112.44,15.57,3.62,3.99
murmura (puffed rice),113.32,15.67,3.62,4.04
puffed wheat (murmure/moori),113.32,15.67,3.62,4.04
boiled egg (ubla anda),45.35,0.12,4.43,3.04
fried egg,223.67,0.31,11.59,19.62
poached egg,123.87,0.37,11.98,8.19
scrambled egg (ande ki bhurji),155.97,1.35,10.29,12.21
baked egg,218.85,15.42,11.88,12.65
plain omelette/omlet,272.41,0.64,9.66,25.74
stuffed egg omelette/omlet,203.51,2.3,8.6,17.77
pancake,203.36,20.49,5.68,10.82
keema pancake,176.27,9.56,9.01,11.25
vegetable pancake,125.18,12.24,3.87,6.57
jam and fruit pancake,162.02,20.73,3.79,7.01
khoa and coconut pancake,271.98,27.32,6.98,15.29
brown stock,21.32,0.25,1.95,1.38
vegetable stock,17.6,0.96,0.3,1.38
chicken stock,29.88,0.37,3.69,1.51
clear tomato soup (tamatar ka soup),80.07,3.45,4.79,12.22
lentil soup,31.17,3.94,9.65,11.68
chicken consomme (clear chicken soup),47.94,1.19,11.47,12.02
cream of tomato soup,97.81,3.93,4.61,13.12
cream of green peas soup,127.84,6.75,7.13,14.78
cream of spinach soup,100.54,3.45,5.21,13.31
cream of mixed vegetable soup,59.65,4.93,6.84,9.05
cream of mushroom soup,117.28,3.74,6.64,15.5
chicken sweet corn soup,28.32,1.63,14.48,12.59
minestrone soup,42.66,3.71,9.3,11.09
egg drop soup,26.64,1.1,12.93,13.52
chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57
french onion soup,55.61,4.28,11.41,14.39
hot and sour soup,31.51,1.78,3.12,1.31
talaumein soup,35.63,4.17,10.12,12.78
cold cucumber soup (thanda kheere ka soup),48.03,4.58,2.99,1.99
cold summer garden soup,49.19,2.65,8.57,14.08
chapati/roti,202.31,35.65,5.88,3.56
plain parantha/paratha,298.3,30.69,5.06,16.86
potato parantha/paratha (aloo ka parantha/paratha),205.04,23.92,3.7,10.22
radish parantha/paratha (mooli ka parantha/paratha),183.52,20.54,3.3,9.53
cauliflower parantha/paratha (phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47
dal parantha/paratha,268.24,30.03,6.78,13.05
sprouted moong parantha/paratha,228.59,24.31,4.29,12.43
pea parantha/paratha (matar ka parantha/paratha),190.73,21.51,5.59,8.8
keema parantha/paratha,238.09,18.36,9.41,13.91
paneer parantha/paratha,262.97,24.33,7.98,14.62
besan and spinach parantha/paratha (besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09
poori,737.63,8.22,1.35,77.61
spinach poori (palak poori),684.25,7.76,1.42,71.86
methi poori,710.02,7.98,1.45,74.6
dal stuffed poori,785.16,10.14,2.08,81.69
potato stuffed poori (aloo ki poori),776.74,9.4,1.52,81.35
tandoori parantha/paratha,295.37,30.74,5.08,16.51
boiled rice (uble chawal),117.19,25.72,2.6,0.18
plain pulao,140.21,21.82,2.34,4.62
mixed vegetable pulao,113.05,17.49,2.72,3.33
mushroom pulao,124.29,19.02,2.52,4.03
sprouted moong pulao,112.97,17.49,2.19,3.61
paneer pulao,581.91,8.76,1.98,59.81
peanut pulao,193.28,21.18,5.32,9.51
navratan pulao,261.71,36.98,6.2,9.45
green chickpeas pulao (choliya pulao/hare chane ka pulao),173.43,27.57,4.88,4.82
mutton biryani/biriyani,190.76,22.5,7.38,7.72
vegetable biryani/biriyani,174.61,18.56,3.16,9.51
"lemon rice (pulihora, elumichai sadam, chitranna)",176.3,21.62,4.26,7.88
sweet rice (meethe chawal),215.41,42.59,2.1,4.57
curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam),195.74,32.93,5.75,4.32
tamarind rice (chintapandu pulihora/puliyodharai/puli sadam/huli anna),373.04,65.08,7.45,8.53
spanish rice,164.24,31.1,4.19,2.23
chinese fried rice,120.58,13.4,4.05,5.43
macroni cheese pie,170.63,21.1,5.85,7.48
vegetable chowmein,129.71,15.44,3.07,6.36
chicken chowmein,151.33,13.3,6.33,8.23
cheese noodle ring,133.67,13.96,6.22,6.12
spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08
penne platter,177.4,20.87,5.04,8.71
pasta hot pot,125.17,11.6,5.84,6.47
chicken lasagne,187.49,13.9,10.45,10.36
fettuccine with spinach sauce,129.21,12.19,3.1,7.83
naan,286.45,51.75,8.05,4.99
bhatura,793.2,10.73,1.63,82.56
idli,137.54,28.18,4.64,0.33
masala dosa,164.58,19.57,3.29,7.84
semolina dosa (suji/rava dosa),227.05,32.84,7.3,7.12
onion tomato uttapam,462.02,11.32,1.91,45.3
paneer kaathi roll,285.94,20.1,6.92,19.55
makki ki roti,263.97,24.19,3.49,16.85
washed moong dal (dhuli moong ki dal),50.0,5.91,2.68,1.68
washed urad dal (dhuli urad ki dal),61.32,5.84,2.51,2.98
split bengal gram with bottle gourd (channa dal with ghiya/lauki),73.25,7.1,2.79,3.6
dry washed urad,124.71,15.66,6.85,3.5
mixed dal,61.93,5.79,2.51,3.1
whole moong (moong ki dal),53.7,5.22,2.25,2.56
whole masoor (masoor ki dal),54.05,5.37,2.28,2.52
whole moth (moth ki dal),55.0,5.74,2.01,2.62
whole urad (urad ki dal),53.8,5.05,2.21,2.62
moti mahal dal (urad rajmah mix dal),103.13,8.74,3.93,5.66
black channa curry/bengal gram curry (kale chane ki curry),140.68,14.11,5.67,6.61
chickpeas curry (safed channa curry),163.43,19.98,6.1,6.84
lobia curry,148.99,17.88,6.06,5.62
soyabean curry,163.28,6.76,10.43,10.19
kidney bean curry (rajmah curry),143.73,16.38,5.95,5.77
sambar,96.92,10.57,3.35,4.38
besan kadhi with pakodies,403.35,3.56,1.64,42.59
khatta channa,202.57,21.14,6.3,10.56
sprouted moong dal chat,32.47,6.01,1.35,0.32
potato cauliflower (aloo gobhi),106.18,5.99,1.9,8.13
potato capsicum (shimla mirch aloo),125.53,8.72,1.41,9.33
cabbage and peas (pattagobhi aur matar),63.88,6.24,3.24,2.64
carrot and fenugreek leaves (gajar methi),61.92,4.17,2.1,3.81
potato fenugreek (aloo methi),135.15,8.47,2.25,10.04
brinjal bhartha (baingan ka bhartha),65.12,4.4,1.38,4.48
dry potato (sookhe aloo),103.15,14.38,1.62,4.18
beans with coconut (nariyal aur sem/phali; beans thoran),131.63,4.39,2.62,11.39
cauliflower with coconut (nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56
carrot and cabbage with coconut (nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62
raw turnip with coconut,132.15,5.78,1.8,11.47
raw papaya with coconut (papaya thoran),132.75,5.58,1.54,11.42
stuffed okra (bharwa bhindi),94.34,3.85,2.08,7.66
stuffed round gourd (bharwa tinde),72.8,4.02,1.1,5.75
stuffed capsicum (bharwa shimla mirch),90.94,8.26,1.34,5.7
stuffed brinjal (bharwa baingan),93.0,3.96,1.53,7.73
stuffed tomatoes (bharwa tamatar),93.35,6.19,3.28,6.06
pea potato curry (aloo matar),100.92,9.74,3.48,5.13
pea paneer curry (matar paneer),134.83,9.29,6.61,7.75
pea mushroom curry (matar mushroom),93.3,7.41,3.87,5.16
pea curry (matar ki sabzi),102.99,9.2,4.51,5.11
pea vadi curry,101.95,8.9,4.64,5.08
paneer curry,176.52,8.4,7.8,12.38
lotus stem curry (kamal kakdi curry),110.34,9.24,1.53,7.25
gravy for kofta,125.59,6.31,1.75,10.35
pea kofta curry (matar kofta curry),595.66,4.17,2.01,63.39
spinach kofta curry (palak kofta curry),571.78,3.56,1.09,61.49
paneer kofta curry,670.91,3.27,2.39,72.06
lotus stem kofta curry (kamal kakdi kofta curry),633.56,5.01,0.96,67.76
raw banana kofta curry (kela kofta curry),627.27,3.4,0.62,67.98
cauliflower kofta curry (phoolgobhi kofta curry),641.1,2.62,1.04,69.62
cabbage kofta curry (pattagobhi kofta curry),639.81,2.87,0.98,69.4
ghiya/lauki kofta curry,638.71,2.71,0.89,69.4
spinach paneer kofta curry (palak paneer kofta curry),606.03,2.94,1.43,65.41
vegetarian egg kofta curry,627.41,4.26,1.33,67.24
baked vegetables,88.99,8.44,3.67,4.44
cauliflower musallam (phoolgobhi musallam),58.83,4.48,1.89,3.55
baked vegetables with spinach,77.79,6.93,3.22,4.03
baked potato with skin,135.77,11.11,3.43,8.5
shepherd's pie (vegetarian),135.63,12.03,5.04,7.3
baked brinjal in tomato sauce,38.63,4.13,1.58,1.62
dum aloo,682.33,3.33,0.7,74.01
spinach paneer (palak paneer),77.68,4.43,4.03,4.76
methi chaman,475.62,2.78,1.54,50.91
sarson ka saag,87.84,5.33,3.0,5.86
jackfruit sabzi (kathal ki sabzi),625.4,3.4,0.69,67.6
avial,124.56,8.47,2.46,8.94
al yakhani,147.54,4.65,2.86,13.14
shahi paneer,156.5,6.64,5.06,12.34
paneer in butter sauce,145.61,9.7,6.99,8.81
methi malai paneer,194.98,8.15,7.34,14.76
chilli paneer,777.51,3.31,2.1,84.01
paneer makhana korma,775.82,4.63,3.24,82.76
kadhai paneer,107.99,7.34,4.33,6.81
roghan josh,139.59,4.93,9.56,9.02
spinach mutton (palak mutton),80.32,3.45,5.74,4.71
pea keema curry (matar keema ki sabzi),133.0,6.24,8.43,8.14
keema kofta curry,154.45,5.64,9.77,10.39
kashmiri mutton koftas (gushtaba),97.42,3.04,6.33,6.77
mutton yakhni,104.13,0.84,8.27,7.7
chicken yakhni,99.0,0.78,10.66,6.1
mutton do piaza,183.3,4.14,9.39,14.41
mutton chops,663.64,1.48,4.03,71.31
shammi kebab,685.69,3.54,4.52,72.61
scotch egg,676.89,1.91,4.05,72.62
shepherd's pie (with minced meat),142.78,8.06,7.45,8.88
chicken curry,129.22,3.38,11.79,7.57
tandoori chicken,145.2,2.34,16.26,7.93
butter chicken,137.0,3.74,10.92,8.7
chicken kebab,729.41,1.11,3.71,78.89
chilli chicken,198.83,2.86,9.57,16.56
fried chicken with tomato sauce (fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61
fish curry (machli curry),111.13,3.77,8.76,6.69
fried fish (indian style) (tali hui machli),658.54,5.4,4.35,68.88
fried fish and chips (english style) (tali hui machli aur chips),651.75,2.77,3.36,69.69
tomato fish,489.79,3.18,2.39,51.91
baked fish with cheese sauce,113.96,4.06,8.64,7.02
fish tikka,117.33,3.91,16.0,4.15
tandoori fish,95.98,2.37,11.19,4.64
"paneer, apple and pineapple salad",95.08,8.35,3.88,5.07
russian salad,114.83,6.5,4.26,7.84
pasta salad,190.36,12.7,4.15,13.92
deviled egg,98.56,2.23,4.97,7.72
hawain salad,175.23,14.35,4.27,11.37
mixed pulse and vegetable salad,83.12,13.96,4.74,0.84
sprouted moong salad,37.81,5.48,2.29,0.74
tossed salad,62.96,4.95,1.02,4.22
mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5
potato salad (aloo ka salaad),89.91,11.19,1.4,4.4
waldroff salad,141.75,11.02,1.47,10.05
coleslaw,76.71,5.59,1.24,5.32
fruit salad (phalon ka salaad),78.14,15.96,0.91,1.22
tomato onion raita (tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84
peanut raita (mungfali ka raita),150.39,9.3,8.59,8.98
sprouted moong raita,60.89,6.13,4.62,2.19
bottle gourd raita (ghiya/lauki ka raita),56.31,5.76,3.98,2.07
cucumber raita (kheere ka raita),59.13,6.35,4.04,2.08
carrot and spinach raita (gajar aur palak ka raita),56.83,5.83,4.0,1.99
mint raita (pudinay ka raita),77.59,7.65,5.64,2.96
potato raita (aloo ka raita),75.38,10.24,4.22,2.04
boondi raita,687.72,3.96,2.19,73.83
sweet raita (meetha raita),99.24,17.93,3.24,1.78
dahi vadas/dahi bhalla,667.73,5.49,2.96,70.4
gunjia,667.34,5.68,2.98,70.28
saunth/sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15
rice kheer (chawal ki kheer),75.03,10.05,2.3,2.97
makhana kheer,107.85,12.88,3.31,5.0
vermicelli kheer (semiya/seviyan ki kheer),120.07,15.87,3.35,5.0
semolina kheer (suji/rava kheer),113.21,15.88,3.43,4.2
paneer kheer,105.31,10.03,4.53,5.37
cabbage kheer (pattagobhi ki kheer),83.51,9.73,2.87,3.8
carrot kheer (gajar ki kheer),85.35,10.09,2.81,3.85
cauliflower kheer (phoolgobhi ki kheer),81.95,8.78,3.04,3.95
moong dal kheer,77.16,9.89,2.95,2.97
phirni,116.12,16.11,3.49,4.34
semolina halwa (suji ka halwa),225.65,24.67,2.16,13.38
shahi suji halwa,382.34,44.44,3.48,21.73
carrot halwa (gajar ka halwa),172.64,18.53,3.11,9.73
egg halwa (ande ka halwa),299.74,39.59,7.85,13.41
potato halwa (aloo ka halwa),151.66,29.18,1.53,3.48
pumpkin halwa (kaddu ka halwa),190.27,27.6,1.33,8.81
moong dal halwa,349.8,40.23,8.35,17.68
caramel custard (steamed),121.58,15.02,4.97,4.87
baked custard,106.53,9.45,5.41,5.3
soft custard (stirred),109.18,11.19,5.01,5.07
chocolate ice cream,177.7,15.41,4.47,11.25
mango ice cream,125.69,11.14,3.4,7.62
fruit ice cream (phalon ka ice cream),171.46,16.05,4.37,10.38
caramel ice cream,173.52,14.81,4.31,11.15
lemon souffle,168.51,13.43,6.95,10.02
orange souffle,168.28,14.2,6.8,9.73
vanilla souffle,187.85,14.78,7.71,11.19
chocolate souffle,189.32,14.74,7.88,11.36
pineapple souffle,196.14,15.52,8.06,11.72
apple mousse,106.92,12.77,4.21,4.27
rich chocolate mousse,188.26,10.84,7.96,12.19
mango mousse,124.98,9.14,3.21,8.47
orange and pineapple cream,101.18,11.96,1.44,5.43
charlotte rousse,188.29,34.08,3.95,4.78
triffle pudding,116.97,18.24,2.93,3.93
snow flakes pudding,95.21,8.07,4.67,4.97
kulfi,98.43,11.3,3.21,4.7
steamed orange pudding,278.03,41.53,2.34,12.04
meringue and rice pudding,112.93,14.6,4.84,4.05
cheese pudding,285.01,19.27,11.29,18.37
chocolate pudding,211.96,29.59,3.55,9.48
bread and butter pudding,167.94,19.63,5.59,7.88
queen of pudding,132.92,16.35,5.51,5.38
pineapple upside down pudding,257.73,35.73,3.15,11.91
date and nut pie,322.42,46.86,3.93,13.31
stewed apple with custard,92.87,18.36,1.27,1.82
apple snowballs,101.51,24.58,0.86,0.31
hot orange souffle,179.97,18.77,6.87,8.95
hot chocolate souffle,226.09,26.21,6.7,11.1
hot vanilla souffle,192.93,21.77,6.87,9.07
plain burfi (burfi),408.32,30.88,9.82,27.96
coconut burfi (nariyal ki burfi),467.64,32.15,8.81,34.63
bottle gourd burfi (ghiya/lauki burfi),275.96,24.51,5.86,17.68
chocolate burfi,339.33,33.15,13.0,17.86
cashewnut burfi (kaju burfi/kaju katli),421.74,37.92,5.48,28.46
gram flour burfi (besan burfi),421.79,46.59,11.19,22.41
semolina ladoo with khoya (suji/rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86
semolina ladoo with coconut (suji/rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03
gram flour ladoo (besan ladoo),476.91,62.61,8.93,22.76
sesame ladoo (til ke ladoo),396.96,43.5,10.7,19.64
chenna murki,252.69,36.01,10.46,8.2
milk cake,127.41,9.13,3.01,8.93
ghujia/lavang latika,768.98,13.0,1.86,78.93
gulab jamun with khoya,586.06,26.09,2.03,53.23
mal pua,566.68,17.56,1.71,54.64
shahi tukre,189.81,41.46,2.76,2.54
potato pakora/pakoda (aloo pakoda),677.19,6.04,1.9,71.84
onion pakora/pakoda (pyaaz ke pakode),674.61,5.41,1.9,71.84
cauliflower pakora/pakoda (phoolgobhi ke pakode),671.63,4.52,1.98,71.86
mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86
spinach pakora/pakoda (palak pakoda),712.62,4.68,1.96,76.38
methi pakora/pakoda (methi ke pakode),713.25,4.68,2.06,76.39
egg pakora/pakoda (ande ke pakode),710.51,4.48,2.83,75.86
bread pakora/pakoda,710.99,8.87,2.57,74.2
paneer pakora/pakoda,718.12,5.52,3.27,76.05
potato bonda (aloo bonda),632.84,4.53,1.09,67.8
potato samosa (aloo ka samosa),577.39,9.21,1.71,59.19
minced meat samosa (keema ka samosa),620.99,6.14,4.43,64.26
paneer and pea samosa (paneer matar ka samosa),623.81,8.55,4.02,63.65
mathri,805.12,12.32,1.75,83.1
khasta kachori,712.73,12.81,2.51,72.27
vegetable cutlet,665.45,4.68,1.25,71.33
flattened rice cutlet (chirwa cutlet/chivda cutlet/poha cutlet),701.71,7.39,1.76,73.89
peanut cutlet (mungfali ke cutlet),698.77,5.68,2.63,74.0
fish cutlet (machli ka cutlet),654.64,3.13,2.77,70.11
paneer potato cutlet (paneer aloo cutlet),672.94,5.23,2.47,71.4
spinach chickpeas cutlet (palak channa dal cutlet),688.03,4.93,1.44,73.6
cheese toast,785.37,5.49,1.98,84.11
vegetable burger,519.93,13.69,3.26,50.63
cheese pizza,249.5,30.62,5.79,12.43
vegetable seekh kebab,690.73,5.32,1.57,73.72
masala vada,826.02,4.06,1.69,89.15
peanut sago vada (sabudana mungfali vada),749.89,7.14,1.01,79.82
vegeterian scotch egg,681.67,4.64,2.16,72.77
paneer shaslik/tikka,93.85,7.98,5.11,4.49
peanut brittle (moongfali ki chikki),320.46,47.46,6.94,11.13
spring roll,623.87,8.56,1.81,64.63
dry mango chutney (sookhe aam ki chutney),298.13,69.17,2.43,0.7
peanut chutney (mungfali ki chutney),258.37,9.87,11.8,19.06
coconut chutney (nariyal ki chutney),265.92,8.29,3.59,25.0
mint and coriander chutney (pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51
custard tart,225.6,28.66,3.72,10.73
lemon tart,303.35,30.68,6.12,17.45
jam tart,360.72,46.18,4.42,17.35
orange cream tart,197.16,27.43,2.58,8.72
pineapple tart,195.4,28.62,2.29,8.21
cheese and mushroom tart,246.1,21.43,5.51,15.28
cottage cheese pie,238.98,20.66,7.45,13.83
minced meat pie,221.55,18.11,7.38,13.04
apple cinnamon pie,258.73,33.68,3.35,12.21
lemon meringue pie,224.43,35.11,3.88,8.16
chocolate meringue pie,214.76,28.8,4.98,9.17
cream puffs,221.33,16.0,4.7,15.48
chocolate eclairs,239.42,26.22,4.24,13.5
cheese balls,681.28,4.81,2.21,72.57
minced meat patties,265.72,15.25,6.88,19.57
cheese patties,324.01,22.23,7.38,22.67
hot cheese souffle,177.1,5.41,9.18,13.23
hot potato souffle,125.64,8.56,5.51,7.64
hot fish souffle,142.92,3.69,11.23,9.24
hot spinach souffle,104.25,4.19,5.43,7.24
plain cream cake,353.94,47.18,6.18,16.17
apple cake (seb ka cake),290.08,39.48,4.94,12.87
marble cake,354.11,46.88,6.3,16.27
chocolate cake,335.61,45.14,6.01,15.18
orange cake,357.61,48.28,6.1,16.21
fruit loaf,324.19,46.49,5.36,13.31
banana cake (kele ka cake),389.51,40.0,5.77,23.31
chocolate chiffon cake,311.71,37.87,5.76,15.8
christmas cake,372.95,48.29,5.49,16.88
strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39
eggless cake,318.08,46.14,8.12,11.75
swiss roll,251.87,48.34,7.3,3.77
pineapple pastry,208.21,29.04,6.06,7.87
black forest pastry,233.55,34.48,6.09,8.46
coconut finger,274.86,42.56,7.09,8.86
pineapple cake,195.57,23.51,5.01,9.34
chocolate walnut cookies (chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62
chocolate chip cookies,425.29,57.98,5.79,19.38
sweet plain biscuit,380.76,50.29,5.86,17.67
chocolate biscuit,379.76,51.56,5.88,17.09
coconut biscuit (nariyal ke biscuit),434.98,42.9,5.78,27.16
sweet and salty biscuit (meethay aur namkeen biscuit),407.96,45.09,6.15,22.39
peanut biscuit,401.05,46.72,8.45,20.41
pin wheel biscuit,404.6,54.56,5.4,18.66
